HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
两,LIǍNG,dos,NUM,,,,,8,7,271
辆,LIÀNG,clas. de vehículos (terrestres),CLA,,,2,11,20sup,3,272
聊天,LIÁOTIĀN,"charlar, chismorrear",VER,,,6,13,,,273
了解,LIǍOJIĚ,"saber, entender / reconocer (a alguien)",VER,,,9,9,,,274
邻居,LÍNJŪ,vecino,NOM,,,17,3,,,275
零,LÍNG,cero,NUM,,,,,5,16,276
留学,LIÚXUÉ,estudiar en el exterior,V+O,,,15,1,,,277
六,LIÙ,seis,NUM,,,,,,,278
楼,LÓU,edificio / piso,NOM,,,2,12,14,23,279
路,LÙ,línea (de autobús) / camino,NOM,,,,,18,27,280
旅游,LǙYÓU,"hacer turismo, viajar",VER,,,,,,,281
绿,LǛ,verde,ADJ,verde,NOM,3,17,17,28,282
妈妈,MĀMA,madre,NOM,,,,,2,3,283
马,MǍ,caballo,NOM,,,19,4,9,17,284
马上,MǍSHÀNG,"en seguida, inmediatamente, ya",ADV,,,8,11,,,285
吗,MA,partícula interrogativa para preguntas que esperan la respuesta sí/no,PI,,,,,1,3,286
买,MǍI,comprar,VER,,,,,9,28,287
卖,MÀI,vender,VER,,,,,17,3,288
满意,MǍNYÌ,"estar satisfecho, estar conforme",VER,"satisfecho, conforme",ADJ,8,2,,,289
慢,MÀN,"lento, lentamente",ADJ,,,,,16,20,290
忙,MÁNG,ocupado,ADJ,,,,,2,1,291
猫,MĀO,"gato, felino",NOM,,,,,,,292
帽子,MÀOZI,"gorro, sombrero",NOM,,,16,5,,,293
没关系,MÉIGUĀNXI,"no importa, no hay problema",FH,,,,,5,10,294
没有,MÉIYǑU,no tener,VER,,,,,,,295
每,MĚI,cada,PRO,,,,,12,5,296
妹妹,MÈIMEI,hermana menor,NOM,,,,,8,10,297
门,MÉN,"puerta, entrada",NOM,,,,,18,26,298
米,MǏ,metro,CLA,arroz,NOM,16,8,21,52,299
米饭,MǏFÀN,arroz (cocido),NOM,,,,,,,300
面包,MIÀNBĀO,pan,NOM,,,1,12,,,301
面条,MIÀNTIÁO,fideos,NOM,,,,,,,302
名字,MÍNGZI,nombre,NOM,,,,,7,9,303
明白,MÍNGBAI,"claro, obvio, simple",ADJ,"entender, darse cuenta, saber",VER,6,9,,,304
明天,MÍNGTIĀN,mañana,NOM,,,,,6,13,305
